Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Cell,
"C1, C2, C3",0805,3,0.1,
"R1, R6, R7",0805,3,10k,
"R8, R9",0805,2,220k,
RV1,PinSocket_1x03_P2.54mm_Vertical,1,10k,
SW1,PinSocket_1x02_P2.54mm_Vertical,1,POWER,
SW2,PinSocket_1x02_P2.54mm_Vertical,1,INVERT,
U1,JOYSTICK,1,LEFT STICK,
U2,JOYSTICK,1,RIGHT STICK,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,ADS7830,
U4,PinSocket_1x04_P2.54mm_Vertical,1,DISPLAY,
U5,MCU_Seeed_ESP32C3,1,XIAO,
U6,nRF24L01_Breakout,1,NRF24L01_Breakout,
