Designator,Mid X,Mid Y,Rotation,Layer
BT1,229.77,-97.5,90.0,top
C1,193.45,-54.0,180.0,bottom
C2,213.5,-75.0,0.0,top
C3,211.5,-90.55,270.0,bottom
D1,238.0,-54.77,180.0,top
D2,242.0,-54.77,0.0,top
R1,238.0,-61.5,90.0,top
R2,230.0875,-75.5,0.0,top
R3,182.9125,-76.5,0.0,top
R5,234.0,-61.5,90.0,top
R6,209.0875,-79.0,180.0,bottom
R7,209.0875,-81.0,0.0,bottom
R8,223.5,-97.5875,270.0,bottom
R9,221.5,-97.5875,270.0,bottom
RV1,180.04,-71.5,90.0,top
SW1,230.025,-54.77,0.0,top
SW2,234.0,-54.77,0.0,top
U3,215.5,-80.5,270.0,bottom
U4,206.81,-71.0,90.0,top
U5,215.6,-87.38,180.0,top
U6,188.4805,-58.685,0.0,top
