Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,0.1,
D1,0805,1,RED,
ICSP,PinSocket_2x03_P2.54mm_Vertical,1,ICSP,
R1,0805,1,220,
R2,0805,1,10k,
RST,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,RSTJUMP,
SRV_8_2,PinSocket_1x03_P2.54mm_Vertical,1,SERVO1,
SRV_8,PinSocket_1x03_P2.54mm_Vertical,1,SERVO2,
TX,PinSocket_1x01_P2.54mm_Vertical,1,TX,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U3,nRF24L01_Breakout,1,NRF24L01_Breakout,
VCC,PinSocket_1x02_P2.54mm_Vertical,1,POWER,
Y1,Crystal_SMD_HC49-SD,1,16MHz,
