Designator,Mid X,Mid Y,Rotation,Layer
C1,127.635,-75.438,270.0,top
C2,143.637,-80.137,0.0,top
C3,152.339,-75.184,180.0,bottom
C4,152.339,-66.548,0.0,bottom
D1,153.797,-78.74,0.0,top
ICSP,122.047,-63.881,90.0,top
R1,153.797,-80.899,0.0,top
R2,142.367,-71.374,0.0,bottom
SRV_8_2,139.992,-62.586,90.0,top
SRV_8,130.952,-62.586,90.0,top
TX,149.733,-79.883,0.0,top
U1,131.064,-70.104,0.0,top
U2,140.97,-71.755,90.0,top
U3,120.9805,-75.815,180.0,bottom
VCC,147.594,-62.586,90.0,top
Y1,153.289,-70.866,90.0,top
