Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,
"C2, C3, C4, C5",0805,4,0.1uF,
D1,0805,1,LED,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Power,
J2,SPARKFUN_PRT-14417,1,Kllip,
J4,PinSocket_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
J5,PinSocket_1x02_P2.54mm_Vertical,1,M1,
J6,PinSocket_1x02_P2.54mm_Vertical,1,M2,
"R1, R2",0805,2,0.2,
R3,0805,1,10k,
R4,0805,1,220,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
"U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,2,A4950E,
