Designator,Mid X,Mid Y,Rotation,Layer
C1,133.223,-54.053,270.0,top
C2,130.81,-52.578,90.0,top
C3,146.7104,-49.1744,0.0,top
C4,144.7704,-33.781,0.0,top
C5,137.16,-40.132,0.0,bottom
D1,152.2,-52.6,0.0,top
J1,137.81,-54.356,270.0,top
J2,132.3,-35.15,180.0,bottom
J4,146.04,-53.23,270.0,bottom
J5,151.8574,-37.698,180.0,top
J6,151.8666,-44.196,180.0,top
R1,148.3245,-33.781,0.0,top
R2,150.2664,-49.1744,0.0,top
R3,133.604,-40.132,180.0,bottom
R4,152.1125,-54.7,0.0,top
U1,135.382,-42.672,270.0,top
U2,135.382,-46.584,270.0,bottom
U3,146.304,-37.527,270.0,top
U4,146.304,-44.005,270.0,top
