Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,
"C2, C3, C4",0805,3,0.1uF,
D1,0805,1,LED,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Power,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J3,PinSocket_1x02_P2.54mm_Vertical,1,M1,
J4,PinSocket_1x02_P2.54mm_Vertical,1,M2,
J5,CONN_PRT-14417_SPK,1,PRT-14417,
R1,0805,1,R,
"R2, R3",0805,2,0.2,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATtiny3217-M,
U2,SOT-23-5,1,SPX3819M5-L-5-0,
"U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,2,A4950E,
