Designator,Mid X,Mid Y,Rotation,Layer
C1,152.905,-111.686,0.0,top
C2,147.83,-97.936,270.0,top
C3,147.83,-101.436,90.0,top
C4,153.143748,-110.776,180.0,bottom
D1,148.83,-112.436,0.0,top
J1,153.28,-107.106,0.0,top
J2,143.08,-106.786,0.0,top
J3,144.45,-94.136,270.0,top
J4,151.36,-94.236,270.0,top
J5,144.930001,-111.162499,0.0,bottom
R1,148.83,-110.336,180.0,top
R2,143.28,-98.1485,90.0,bottom
R3,151.38,-98.1485,90.0,bottom
U1,147.58,-106.386,90.0,top
U2,143.08,-111.536,90.0,top
U3,143.905,-99.625,0.0,top
U4,152.005,-99.717,0.0,top
